kota_administrasi,kecamatan,kelurahan,rw,jumlah_rw,jumlah_rt,jumlah_kk,jumlah_jiwa,ketinggian_air,tanggal_kejadian,lama_genangan,jumlah_meninggal,jumlah_hilang,jumlah_luka_berat,jumlah_luka_ringan,jumlah_pengungsi,jumlah_tempat_pengungsian,nilai_kerugian
Jakarta Timur,Jatinegara,Bidara Cina,"003, 005, 007, 011, 014",5,20,567,1820,20 - 150,"01, 02, 03, 04, 06",5,0,0,0,0,1820,7,0
Jakarta Timur,Jatinegara,Kampung Melayu,"001, 002, 003, 004, 005, 007, 008",7,47,"1,508","3,427",30 - 200,"01, 02, 03, 04, 06, 07, 16, 29",8,0,0,0,0,769,4,0
Jakarta Timur,Kramat Jati,Cawang,"001, 002, 003, 005, 008, 012",6,29,1999,6397,30 - 100 ,"02, 03, 04, 06, 16",5,0,0,0,0,0,0,0
Jakarta Timur,Kramat Jati,Cililitan,"005, 006, 007, 015, 016",5,12,192,673,10 - 100 ,"02, 03, 04, 06,16",5,0,0,0,0,90,2,0
Jakarta Timur,Makasar,Makasar,6,1,4,196,784, 10 - 20,29,1,0,0,0,0,0,0,0
Jakarta Timur,Makasar,Cipinang Melayu,"003, 004, 005, 010, 012",5,24,0,650,10 - 200 ,"12, 29",2,0,0,0,0,650,2,0
Jakarta Timur,Makasar,Pinang Ranti,4,1,3,0,0,40,29,1,0,0,0,0,0,0,0
Jakarta Timur,Makasar,Kebon Pala,1,1,3,0,0,20,29,1,0,0,0,0,0,0,0
Jakarta Selatan,Tebet,Bukit Duri,"010, 011",2,0,30,150,20 - 60 ,"03, 04",2,0,0,0,0,150,15,0
Jakarta Selatan,Pasar Minggu,Pejaten Timur,"003, 005, 006, 007, 008, 009, 010",7,26,433,1197, 10 - 30, 03,1,0,0,0,0,0,1,0
Jakarta Pusat,Tanah Abang,Karet Tengsin,7,1,6,0,0,20 - 50,14,1,0,0,0,0,0,0,0
Jakarta Barat,Cengkareng,Tegal Alur,"001, 002, 003, 004, 005, 006, 007, 008, 009, 010, 011, 012, 013, 014, 015",15,66,0,0,15 - 60 ,12,1,0,0,0,0,0,1,0
Jakarta Utara,Koja,,"004, 009, 010,011",4,4,0,0, 10 - 20,12,1,0,0,0,0,0,0,0
Jakarta Utara,Koja,Rawa Badak Utara,"001, 006, 007, 014",4,0,0,0, 5 - 25,12,1,0,0,0,0,0,,0
Jakarta Utara,Koja,Koja,"001, 006, 007, 008",4,0,0,0, 10 - 60,12,1,0,0,0,0,0,0,0
Jakarta Utara,Koja,Tugu Selatan,"001, 002, 004, 005",4,6,0,0, 10 - 40,12,1,0,0,0,0,0,,0
Jakarta Utara,Koja,Tugu Utara,"002, 003, 010",3,0,0,0,20 - 70 ,12,1,0,0,0,0,0,0,0
Jakarta Utara,Koja,Lagoa,"001, 003, 006, 007, 008, 010, 011, 012, 013, 014, 015, 016, 017, 018",14,0,0,0,20 - 60 ,12,1,0,0,0,0,0,0,0
